iter	Passed	Remaining
0	1	112
1	2	103
2	3	99
3	3	93
4	4	93
5	5	92
6	6	92
7	7	90
8	8	90
9	9	89
10	11	89
11	12	88
12	12	86
13	13	85
14	14	83
15	15	82
16	16	81
17	17	80
18	18	79
19	19	78
20	20	77
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	33	63
35	34	62
36	36	61
37	37	60
38	38	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	45	50
47	46	49
48	47	49
49	47	47
50	48	47
51	49	46
52	50	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	92	2
97	93	1
98	94	0
99	95	0
