iter	Passed	Remaining
0	195	195441
1	196	98181
2	197	65762
3	198	49514
4	199	39754
5	200	33264
6	201	28618
7	202	25125
8	203	22408
9	204	20237
10	205	18463
11	206	16980
12	207	15725
13	208	14651
14	208	13718
15	209	12904
16	210	12186
17	211	11553
18	212	10980
19	213	10470
20	214	10003
21	215	9577
22	216	9189
23	217	8832
24	218	8502
25	218	8197
26	219	7915
27	220	7652
28	221	7409
29	222	7182
30	223	6971
31	224	6779
32	225	6596
33	226	6424
34	227	6261
35	228	6109
36	229	5964
37	230	5826
38	231	5695
39	232	5570
40	233	5450
41	233	5335
42	234	5226
43	235	5120
44	236	5020
45	237	4925
46	238	4837
47	239	4750
48	240	4665
49	241	4583
50	242	4505
51	242	4429
52	243	4356
53	244	4285
54	245	4217
55	246	4152
56	247	4089
57	248	4027
58	248	3969
59	249	3912
60	250	3857
61	251	3803
62	252	3754
63	253	3707
64	254	3658
65	255	3611
66	256	3566
67	256	3521
68	257	3477
69	258	3435
70	259	3394
71	260	3354
72	261	3315
73	261	3277
74	262	3240
75	263	3204
76	264	3169
77	265	3136
78	266	3106
79	267	3073
80	268	3042
81	269	3012
82	269	2978
83	270	2949
84	271	2921
85	272	2893
86	273	2866
87	274	2840
88	275	2815
89	275	2789
90	276	2765
91	277	2740
92	278	2716
93	279	2694
94	280	2672
95	281	2650
96	282	2628
97	283	2607
98	284	2585
99	285	2565
100	285	2544
101	286	2524
102	287	2504
103	288	2485
104	289	2466
105	290	2448
106	291	2430
107	292	2413
108	293	2396
109	294	2380
110	295	2363
111	296	2347
112	297	2331
113	298	2316
114	299	2302
115	300	2286
116	300	2271
117	301	2256
118	302	2241
119	303	2225
120	304	2211
121	305	2196
122	306	2182
123	306	2168
124	307	2154
125	308	2141
126	309	2127
127	310	2115
128	311	2102
129	312	2089
130	313	2078
131	314	2067
132	315	2055
133	316	2044
134	317	2033
135	318	2022
136	319	2011
137	320	2000
138	321	1989
139	322	1978
140	323	1968
141	323	1955
142	324	1946
143	325	1937
144	326	1927
145	327	1918
146	329	1909
147	330	1901
148	331	1892
149	332	1883
150	333	1873
151	334	1864
152	335	1854
153	335	1845
154	336	1835
155	337	1827
156	338	1819
157	339	1811
158	340	1802
159	341	1793
160	342	1783
161	343	1774
162	343	1765
163	344	1757
164	345	1748
165	346	1741
166	347	1733
167	348	1724
168	349	1717
169	350	1709
170	350	1701
171	351	1693
172	352	1687
173	354	1680
174	354	1673
175	355	1665
176	356	1658
177	357	1651
178	358	1643
179	359	1636
180	360	1630
181	361	1624
182	362	1617
183	363	1610
184	364	1604
185	365	1598
186	366	1591
187	367	1586
188	368	1580
189	369	1574
190	370	1569
191	371	1563
192	372	1558
193	373	1552
194	374	1547
195	375	1541
196	376	1535
197	377	1530
198	378	1524
